City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
257,Kuusamo,FI,65.9667,29.1833,28.44,100,100,8.05,overcast clouds
258,Vinh,VN,18.6667,105.6667,76.42,86,20,2.44,few clouds
259,Gualaquiza,EC,-3.4,-78.55,64.44,100,100,0.76,light rain
260,Hlotse,LS,-28.8718,28.045,56.97,81,100,1.21,light rain
261,Puquio,PE,-14.7,-74.1333,54.73,54,100,0.78,overcast clouds
262,Netanya,IL,32.3329,34.8599,63.21,68,25,8.23,scattered clouds
263,Yokadouma,CM,3.5167,15.05,68.0,97,100,1.05,overcast clouds
264,Potsdam,DE,52.3989,13.0657,43.05,96,71,8.32,broken clouds
265,Manicore,BR,-5.8092,-61.3003,73.17,99,100,2.24,moderate rain
266,Srednekolymsk,RU,67.45,153.6833,-23.62,98,68,8.68,broken clouds
267,Sorong,ID,-0.8833,131.25,84.27,70,100,2.46,moderate rain
268,Saint-Francois,FR,46.4154,3.9054,51.24,82,20,0.0,few clouds
269,Port Arthur,CN,38.8,121.2667,50.22,47,0,10.25,clear sky
270,Karasjok,NO,69.4719,25.5112,19.04,96,100,3.8,overcast clouds
271,Westport,US,41.1415,-73.3579,45.75,70,100,10.0,moderate rain
272,Avera,US,33.194,-82.5271,53.11,95,100,10.09,overcast clouds
273,Port Lincoln,AU,-34.7333,135.8667,57.94,60,68,10.49,broken clouds
274,Pasni,PK,25.2631,63.471,77.14,72,0,1.92,clear sky
275,Rio Gallegos,AR,-51.6226,-69.2181,57.25,26,20,20.71,few clouds
276,Chandla,IN,25.0833,80.2,63.93,49,0,5.73,clear sky
277,Sarangani,PH,5.4033,125.4636,83.55,72,73,2.39,broken clouds
278,Mmabatho,ZA,-25.85,25.6333,66.97,54,4,8.16,clear sky
279,Vung Tau,VN,10.346,107.0843,80.1,79,67,5.79,broken clouds
280,Khatanga,RU,71.9667,102.5,-8.25,97,100,9.75,overcast clouds
281,Xai-Xai,MZ,-25.0519,33.6442,64.72,74,0,5.95,clear sky
282,Yerbogachen,RU,61.2767,108.0108,4.48,96,100,4.72,light snow
283,Shebunino,RU,46.4339,141.8603,35.8,64,28,5.79,scattered clouds
284,Boa Vista,BR,2.8197,-60.6733,82.38,74,20,6.91,few clouds
285,Pimentel,PE,-6.8367,-79.9342,63.57,89,91,13.73,overcast clouds
286,Rumonge,BI,-3.9736,29.4386,72.03,79,100,4.76,overcast clouds
287,Bella Union,UY,-30.2752,-57.6007,70.2,36,100,3.31,overcast clouds
288,Rosetta,EG,31.4044,30.4164,64.54,67,7,7.96,light rain
289,Roanoke,US,37.271,-79.9414,39.85,95,100,1.01,overcast clouds
290,Yeppoon,AU,-23.1333,150.7333,85.78,58,49,5.84,scattered clouds
291,Victoria,HK,22.2855,114.1577,76.96,85,95,11.99,overcast clouds
292,Guerrero Negro,MX,27.9769,-114.0611,65.57,50,0,12.53,clear sky
293,Galesong,ID,-5.3166,119.3661,84.22,78,100,5.14,overcast clouds
294,Camacupa,AO,-12.0167,17.4833,61.56,96,100,3.33,light rain
295,Salgado,BR,-11.0319,-37.475,77.7,91,12,5.61,light rain
296,Grafton,US,42.207,-71.6856,39.13,60,100,2.75,overcast clouds
297,Chor,PK,25.5167,69.7667,69.69,40,0,7.45,clear sky
298,Sigli,ID,5.3848,95.9609,80.06,78,100,4.94,overcast clouds
299,Namibe,AO,-15.1961,12.1522,64.99,85,46,4.36,scattered clouds
300,Egvekinot,RU,66.3167,-179.1667,27.73,99,100,18.37,snow
301,Niquero,CU,20.0431,-77.5828,79.83,78,16,7.85,few clouds
302,Behshahr,IR,36.6923,53.5526,52.43,75,0,4.68,clear sky
303,Auki,SB,-8.7676,160.7034,85.96,63,28,5.86,scattered clouds
304,Tabuk,PH,17.4189,121.4443,79.3,81,14,1.34,few clouds
305,Pisco,PE,-13.7,-76.2167,64.45,88,0,18.41,clear sky
306,Golden,US,39.7555,-105.2211,29.44,57,20,4.0,few clouds
307,Ganzhou,CN,28.8184,115.4327,60.98,66,79,1.59,broken clouds
308,Aden,YE,12.7794,45.0367,78.28,68,27,7.74,scattered clouds
309,Bainbridge,US,47.6262,-122.5212,49.28,82,8,8.01,clear sky
310,Kristiinankaupunki,FI,62.2743,21.376,34.81,80,100,7.78,overcast clouds
311,Mangai,CD,-4.05,19.5333,67.98,99,100,0.74,light rain
312,Esperance,AU,-33.8667,121.9,66.78,52,3,14.97,clear sky
313,Faya,SA,18.3851,42.4509,55.51,74,0,3.4,clear sky
314,Katobu,ID,-4.9408,122.5276,85.05,72,100,2.75,overcast clouds
315,Sabha,LY,27.0377,14.4283,60.82,38,100,2.98,overcast clouds
316,Ocos,GT,14.5094,-92.1933,78.98,75,14,5.03,few clouds
317,Eydhafushi,MV,5.1033,73.0708,80.37,77,57,8.55,broken clouds
318,Leningradskiy,RU,69.3833,178.4167,8.47,95,100,4.27,light snow
319,Itarema,BR,-2.9248,-39.9167,78.13,71,0,15.05,clear sky
320,Kruisfontein,ZA,-34.0033,24.7314,58.89,77,29,7.81,scattered clouds
321,Mirador,BR,-6.3708,-44.3631,75.7,78,3,0.56,clear sky
322,Atherton,GB,53.5237,-2.4935,45.75,95,47,6.73,scattered clouds
323,Villanueva De La Serena,ES,38.9766,-5.7974,59.13,91,100,10.85,overcast clouds
324,Pucallpa,PE,-8.3791,-74.5539,84.24,74,40,9.22,scattered clouds
325,Yarmouth,US,41.7057,-70.2286,43.97,75,100,1.01,overcast clouds
326,Bani,DO,18.2833,-70.3333,76.86,84,2,10.51,clear sky
327,Santa Isabel,BR,-23.3156,-46.2214,67.71,81,100,2.82,overcast clouds
